name	inchi	inchikey	file_to_add	filename	all_names	in_sink	source	compound
ectoine	InChI=1S/C6H10N2O2/c1-4-7-3-2-5(8-4)6(9)10/h5H,2-3H2,1H3,(H,7,8)(H,9,10)/t5-/m0/s1	WQXNXVUDBPYKBA-YFKPBYRVSA-N		ectoine	['ectoine']	False	MBE_LEGACY	ectoine
docosahexaenoic acid	InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-	MBMBGCFOFBJSGT-KUBAVDMBSA-N		docosahexaenoic_acid	['docosahexaenoic acid']	False	MBE_LEGACY	docosahexaenoic_acid
dihomo-methionine	InChI=1S/C7H15NO2S/c1-11-5-3-2-4-6(8)7(9)10/h6H,2-5,8H2,1H3,(H,9,10)	FBWIRBFZWNIGJC-UHFFFAOYSA-N		dihomo-methionine	['dihomo-methionine']	False	MBE_LEGACY	dihomo-methionine
crotonic acid	InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)/b3-2+	LDHQCZJRKDOVOX-NSCUHMNNSA-N		crotonic_acid	['crotonic acid']	False	MBE_LEGACY	crotonic_acid
caffeine	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	RYYVLZVUVIJVGH-UHFFFAOYSA-N		caffeine	['caffeine']	False	MBE_LEGACY	caffeine
butane	InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3	IJDNQMDRQITEOD-UHFFFAOYSA-N		butane	['butane']	False	MBE_LEGACY	butane
Artemisinin	InChI=1S/C15H22O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-11,13H,4-7H2,1-3H3	BLUAFEHZUWYNDE-UHFFFAOYSA-N		Artemisinin	['Artemisinin']	False	MBE_LEGACY	Artemisinin
4-hydroxybutyric	InChI=1S/C4H8O3/c5-3-1-2-4(6)7/h5H,1-3H2,(H,6,7)	SJZRECIVHVDYJC-UHFFFAOYSA-N		4-hydroxybutyric	['4-hydroxybutyric']	False	MBE_LEGACY	4-hydroxybutyric
3-Phenylpropionic acid	InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)	XMIIGOLPHOKFCH-UHFFFAOYSA-N		3-Phenylpropionic_acid	['3-Phenylpropionic acid']	True	MBE_LEGACY	3-Phenylpropionic_acid
3-methylxanthine	InChI=1S/C6H6N4O2/c1-10-4-3(7-2-8-4)5(11)9-6(10)12/h2H,1H3,(H,7,8)(H,9,11,12)	GMSNIKWWOQHZGF-UHFFFAOYSA-N		3-methylxanthine	['3-methylxanthine']	False	MBE_LEGACY	3-methylxanthine
3-hydroxypropionic acid	InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)	ALRHLSYJTWAHJZ-UHFFFAOYSA-N		3-hydroxypropionic_acid	['3-hydroxypropionic acid']	True	MBE_LEGACY	3-hydroxypropionic_acid
3-hydroxybutyryl-CoA	InChI=1S/C25H42N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-14,18-20,24,33,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)	QHHKKMYHDBRONY-UHFFFAOYSA-N		3-hydroxybutyryl-CoA	['3-hydroxybutyryl-CoA']	True	MBE_LEGACY	3-hydroxybutyryl-CoA
3-hydroxybutanone	InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3	ROWKJAVDOGWPAT-UHFFFAOYSA-N		3-hydroxybutanone	['3-hydroxybutanone']	False	MBE_LEGACY	3-hydroxybutanone
3-(4-hydroxyphenyl) propionic acid	InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)	NMHMNPHRMNGLLB-UHFFFAOYSA-N		3-4-hydroxyphenyl_propionic_acid	['3-(4-hydroxyphenyl) propionic acid']	False	MBE_LEGACY	3-4-hydroxyphenyl_propionic_acid
2,3 Butanediol	InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3	OWBTYPJTUOEWEK-UHFFFAOYSA-N		23_Butanediol	['2,3 Butanediol', '2,3-butanediol']	False	MBE_LEGACY	23_Butanediol
2-octenoic acid	InChI=1S/C8H14O2/c1-2-3-4-5-6-7-8(9)10/h6-7H,2-5H2,1H3,(H,9,10)	CWMPPVPFLSZGCY-UHFFFAOYSA-N		2-octenoic_acid	['2-octenoic acid']	False	MBE_LEGACY	2-octenoic_acid
2-hydroxybiphenyl	InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H	LLEMOWNGBBNAJR-UHFFFAOYSA-N		2-hydroxybiphenyl	['2-hydroxybiphenyl']	False	MBE_LEGACY	2-hydroxybiphenyl
2-hexenoic acid	InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h4-5H,2-3H2,1H3,(H,7,8)	NIONDZDPPYHYKY-UHFFFAOYSA-N		2-hexenoic_acid	['2-hexenoic acid']	False	MBE_LEGACY	2-hexenoic_acid
2-decenoic acid	InChI=1S/C10H18O2/c1-2-3-4-5-6-7-8-9-10(11)12/h8-9H,2-7H2,1H3,(H,11,12)/b9-8+	WXBXVVIUZANZAU-CMDGGOBGSA-N		2-decenoic_acid	['2-decenoic acid']	False	MBE_LEGACY	2-decenoic_acid
1,2-propanediol	InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3	DNIAPMSPPWPWGF-UHFFFAOYSA-N		12-propanediol	['1,2-propanediol']	True	MBE_LEGACY	12-propanediol
1,2-butanediol	InChI=1S/C4H10O2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3	BMRWNKZVCUKKSR-UHFFFAOYSA-N		12-butanediol	['1,2-butanediol']	False	MBE_LEGACY	12-butanediol
12-aminododecanoic acid methyl ester	InChI=1S/C13H27NO2/c1-16-13(15)11-9-7-5-3-2-4-6-8-10-12-14/h2-12,14H2,1H3	NDBSIOZEOQUDBF-UHFFFAOYSA-N		12-aminododecanoic_acid_methyl_ester	['12-aminododecanoic acid methyl ester']	False	MBE_LEGACY	12-aminododecanoic_acid_methyl_ester
1-octadecanol	InChI=1S/C18H38O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3	GLDOVTGHNKAZLK-UHFFFAOYSA-N		1-octadecanol	['1-octadecanol']	False	MBE_LEGACY	1-octadecanol
1-deoxy-D-xylulose 5-phosphate	InChI=1S/C5H11O7P/c1-3(6)5(8)4(7)2-12-13(9,10)11/h4-5,7-8H,2H2,1H3,(H2,9,10,11)/t4-,5-/m1/s1	AJPADPZSRRUGHI-RFZPGFLSSA-N		1-deoxy-D-xylulose_5-phosphate	['1-deoxy-D-xylulose 5-phosphate']	True	MBE_LEGACY	1-deoxy-D-xylulose_5-phosphate
1-decanol	InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3	MWKFXSUHUHTGQN-UHFFFAOYSA-N		1-decanol	['1-decanol']	False	MBE_LEGACY	1-decanol
