,Name,SMARTS
284,Thiols from Thiourea,"[C,c;+0:1][F,Cl,Br,I;+0:2].[SX1+0:3]=[C+0:4]([N+0H2:5])[N+0H2:6].[O+0H2:7]>>[*:1][*:3].[*:7]=[*:4]([*:5])[*:6].[*:2]"
285,Thioacetals from Thiols and Aldehydes or Ketones,"[C,c;+0:1][SX2+0H:2].[C,c;+0:3][SX2+0H:4].[C!$(*O)X3+0:5]=[O+0:6]>>[*:1][*:2][*:5][*:4][*:3].[*:6]"
286,Cyclic Thioacetals from Dithiols,"([C,c;+0:1][SX2+0H:2].[C,c;+0:3][SX2+0H:4]).[C!$(*O)X3+0:5]=[O+0:6]>>[*:1][*:2][*:5][*:4][*:3].[*:6]"
287,Oxidation of Thiols,"[C,c;+0:1][SX2+0H:2].[C,c;+0:3][SX2+0H:4].[O+0:5]=[O+0]>>[*:1][*:2][*:4][*:3].[*:5]"
288,"Oxidation of Thiols, Intramolecular","([C,c;+0:1][SX2+0H:2].[C,c;+0:3][SX2+0H:4]).[O+0:5]=[O+0]>>[*:1][*:2][*:4][*:3].[*:5]"
289,Reduction of Disulfides,"[C,c;+0:1][SX2+0:2]-!@[SX2+0:4][C,c;+0:3].[H][H]>>[*:1][*:2].[*:3][*:4]"
290,"Reduction of Disulfides, Intramolecular","[C,c;+0:1][SX2+0:2]-@[SX2+0:4][C,c;+0:3].[H][H]>>([*:1][*:2].[*:3][*:4])"
291,Oxidation of Sulfides,[*+0:1][SX2!$(*[OH])+0:2][*+0:3].[O+0:4]=[O+0]>>[*:1][*:2](=[*:4])[*:3]
292,Oxidation of Sulfoxides,[*+0:1][SX3+0:2](=[O+0:4])[*+0:3].[O+0:5]=[O+0]>>[*:1][*:2](=[*:4])(=[*:5])[*:3]
293,Thione-Thiol Tautomerization,"[N,O;+0!H0:1][C+0:2]=[SX1+0:3]>>[*:1]=[*:2][*:3]"
294,Thione-Thiol Tautomerization Reverse,"[N,O;+0:1]=[C+0:2][SX2+0H:3]>>[*:1][*:2]=[*:3]"
295,Sulfenic Acid Tautomerization,"[C,c;+0:1][SX2+0:2][O+0H:3]>>[*:1][*:2]=[*:3]"
296,Sulfenic Acid Tautomerization Reverse,"[C,c;+0:1][SX3+0H:2]=[O+0:3]>>[*:1][*:2][*:3]"
297,Thiol Oxidation to Sulfenic Acid,"[C,c;+0:1][SX2+0H:2].[O+0:3]=[O+0]>>[*:1][*:2][*:3]"
298,Thiol Oxidation to Sulfinic Acid,"[C,c;!$(*=O)+0:1][SX2+0H:2].[O+0:3]=[O+0:4]>>[*:1][*:2](=[*:3])[*:4]"
299,Thiol Oxidation to Sulfonic Acid,"[C,c;!$(*=O)+0:1][SX2+0H:2].[O+0:3]=[O+0:4]>>[*:1][*:2](=[*:3])(=[O])[*:4]"
300,Sulfurous Acid Salts Addition to Oxiranes,[CX4+0:1]1[O+0:2][CX4+0:3]1.[O+0:4]=[SX3+0:5]([O+0H:6])[O+0H:7]>>[*:2][*:1][*:3][*:5](=[*:4])(=[*:6])[*:7]
301,"Esterification, Acid Anhydride Formation with Sulfuric Acid","[C,c;+0:1][O+0H:2].[O+0:3]=[SX4+0:4](=[O+0:5])([OX2+0:6])[O+0H:7]>>[*:1][*:2][*:4](=[*:3])(=[*:5])[*:6].[*:7]"
302,Organosulfates Hydrolysis,"[C,c;+0:1][O+0:2]-!@[SX4+0:4](=[O+0:3])(=[O+0:5])[OX2+0:6].[O+0H2:7]>>[*:1][*:2].[*:3]=[*:4](=[*:5])([*:6])[*:7]"
303,"Esterification, Acid Anhydride Formation with Sulfuric Acid, Intramolecular","([C,c;+0:1][O+0H:2].[O+0:3]=[SX4+0:4](=[O+0:5])([OX2+0:6])[O+0H:7])>>[*:1][*:2][*:4](=[*:3])(=[*:5])[*:6].[*:7]"
304,"Organosulfates Hydrolysis, Intramolecular","[C,c;+0:1][O+0:2]-@[SX4+0:4](=[O+0:3])(=[O+0:5])[OX2+0:6].[O+0H2:7]>>([*:1][*:2].[*:3]=[*:4](=[*:5])([*:6])[*:7])"
305,Organosulfates Reduction,[C!$(*=O)+0:1][O+0:2][SX4+0:3](=[O+0:4])(=[O+0:5])[O+0H:6].[H][H]>>[*:1][*:3](=[*:4])(=[*:5])[*:6].[*:2]
306,Alkenes Addition by Sulfuric Acid,[C+0:1]=[C+0:2].[O+0:3]=[SX4+0:4](=[O+0:5])([O+0H:6])[O+0H:7]>>[*:1][*:2][*:6][*:4](=[*:3])(=[*:5])[*:7]
307,Alkenes Addition by Sulfuric Acid Reverse,[C+0!H0:1][C+0:2][O+0:6][SX4+0:4](=[O+0:3])(=[O+0:5])[O+0H:7]>>[*:1]=[*:2].[*:3]=[*:4](=[*:5])([*:6])[*:7]
308,Alkenes Addition by Bisulfites,[C+0:1]=[C+0:2].[O+0:3]=[SX3+0:4]([O+0H:5])[O+0H:6]>>[*:1][*:2][*:4](=[*:3])(=[*:5])[*:6]
309,Esterification of Sulfonic Acids,"[C,c;+0:1][O+0H:2].[O+0:3]=[SX4+0:4](=[O+0:5])([C,c,N;+0:6])[OH,F,Cl,Br,I;+0:7]>>[*:1][*:2][*:4](=[*:3])(=[*:5])[*:6].[*:7]"
310,Sulfonic Acid Esters Hydrolysis,"[C,c;+0:1][O+0:2]-!@[SX4+0:4](=[O+0:3])(=[O+0:5])[C,c,N;+0:6].[O+0H2:7]>>[*:1][*:2].[*:3]=[*:4](=[*:5])([*:6])[*:7]"
311,"Esterification of Sulfonic Acids, Intramolecular","([C,c;+0:1][O+0H:2].[O+0:3]=[SX4+0:4](=[O+0:5])([C,c,N;+0:6])[OH,F,Cl,Br,I;+0:7])>>[*:1][*:2][*:4](=[*:3])(=[*:5])[*:6].[*:7]"
312,"Sulfonic Acid Esters Hydrolysis, Intramolecular","[C,c;+0:1][O+0:2]-@[SX4+0:4](=[O+0:3])(=[O+0:5])[C,c,N;+0:6].[O+0H2:7]>>([*:1][*:2].[*:3]=[*:4](=[*:5])([*:6])[*:7])"
313,Sulfonic Esters Nucleophilic Substitution,"[C,c;+0:1][O+0:2]-!@[SX4+0:4](=[O+0:3])(=[O+0:5])[C,c;+0:6].[F,Cl,Br,I;+0H:7]>>[*:1][*:7].[*:3]=[*:4](=[*:5])([*:6])[*:2]"
314,"Sulfonic Esters Nucleophilic Substitution, Intramolecular","[C,c;+0:1][O+0:2]-@[SX4+0:4](=[O+0:3])(=[O+0:5])[C,c;+0:6].[F,Cl,Br,I;+0H:7]>>([*:1][*:7].[*:3]=[*:4](=[*:5])([*:6])[*:2])"
315,Sulfonation of Benzene,[c+0H:1].[O+0:2]=[SX3+0:3](=[O+0:4])=[O+0:5]>>[*:1][*:3](=[*:4])(=[*:5])[*:2]
316,Disproportionation of Aromatic Sulfinic Acids,[c+0:1][SX3+0:2](=[O+0])[O+0H]>>[*:1][*:2](=[O])(=[O])[O].[*:1][*:2](=[O])(=[O])[*:2][*:1].[O]
317,Alkylation of Sulfinic Acids with Halides,"[C,c;+0:1][SX3+0:2](=[O+0:3])[O+0H:4].[C,c;+0:5][F,Cl,Br,I;+0:6]>>[*:1][*:2](=[*:3])(=[*:4])[*:5].[*:6]"
318,Reduction of Aromatic Sulfonyl Chlorides to Thiols,"[c+0:1][SX4+0:2](=[O+0:3])(=[O+0])[F,Cl,Br,I;+0:4].[H][H]>>[*:1][*:2].[*:4].[*:3]"
319,Reduction of Sulfonyl Chlorides to Sulfinic Acids,"[C,c;+0:1][SX4+0:2](=[O+0:3])(=[O+0:4])[F,Cl,Br,I;+0:5].[H][H]>>[*:1][*:2](=[*:3])[*:4].[*:5]"
